"","x","z","zz"
"1",0,4.5,0
"2",0.0404040404040404,4.40100329953089,-0.168325609899154
"3",0.0808080808080808,4.3059267377433,-0.350817975272268
"4",0.121212121212121,4.21461508231927,-0.548669409997067
"5",0.161616161616162,4.12691924793578,-0.763172576431603
"6",0.202020202020202,4.04269605285183,-0.995728931023836
"7",0.242424242424242,3.96180798513439,-1.2478578807274
"8",0.282828282828283,3.88412297814149,-1.52120671004701
"9",0.323232323232323,3.80951419489588,-1.81756134357183
"10",0.363636363636364,3.7378598209972,-2.13885801431391
"11",0.404040404040404,3.66904286573458,-2.48719591408661
"12",0.444444444444444,3.60295097107489,-2.86485090857442
"13",0.484848484848485,3.53947622821482,-3.27429040670154
"14",0.525252525252525,3.47851500139727,-3.71818948144818
"15",0.565656565656566,3.4199677587043,-4.19944834744003
"16",0.606060606060606,3.36373890955061,-4.7212113095006
"17",0.646464646464647,3.30973664861187,-5.28688730596699
"18",0.686868686868687,3.25787280593345,-5.90017218098863
"19",0.727272727272727,3.20806270297456,-6.56507283132525
"20",0.767676767676768,3.16022501435286,-7.285933385407
"21",0.808080808080808,3.11428163506379,-8.06746358569777
"22",0.848484848484849,3.07015755295794,-8.91476955979782
"23",0.888888888888889,3.02778072626797,-9.83338718132866
"24",0.929292929292929,2.98708196598546,-10.8293182385636
"25",0.96969696969697,2.94799482289541,-11.9090696471119
"26",1.01010101010101,2.91045547908404,-13.0796959628519
"27",1.05050505050505,2.8744026437427,-14.3488454728723
"28",1.09090909090909,2.83977745309791,-15.7248101655564
"29",1.13131313131313,2.80652337430389,-17.2165799062884
"30",1.17171717171717,2.77458611314097,-18.8339011727393
"31",1.21212121212121,2.74391352536891,-20.5873407334794
"32",1.25252525252525,2.71445553159057,-22.4883546859608
"33",1.29292929292929,2.68616403548682,-24.5493633049314
"34",1.33333333333333,2.65899284528932,-26.7838321902998
"35",1.37373737373737,2.63289759836276,-29.2063602446334
"36",1.41414141414141,2.60783568877367,-31.8327750550887
"37",1.45454545454545,2.58376619772728,-34.680236302953
"38",1.4949494949495,2.56064982675912,-37.7673478764228
"39",1.53535353535354,2.53844883357203,-41.1142794191081
"40",1.57575757575758,2.51712697041401,-44.7428981084001
"41",1.61616161616162,2.49664942489618,-48.6769115246753
"42",1.65656565656566,2.47698276315434,-52.9420225447735
"43",1.6969696969697,2.45809487526117,-57.5660972717445
"44",1.73737373737374,2.43995492280011,-62.5793470980339
"45",1.77777777777778,2.42253328851517,-68.0145260916167
"46",1.81818181818182,2.40580152795462,-73.9071449947025
"47",1.85858585858586,2.38973232302949,-80.2957032331709
"48",1.8989898989899,2.37429943741106,-87.2219404525726
"49",1.93939393939394,2.3594776736946,-94.7311092241052
"50",1.97979797979798,2.34524283225937,-102.87227070229
"51",2.02020202020202,2.33157167175766,-111.698615166026
"52",2.06060606060606,2.31844187116844,-121.267809537281
"53",2.1010101010101,2.30583199335369,-131.642374147929
"54",2.14141414141414,2.29372145005773,-142.890091216339
"55",2.18181818181818,2.28209046829264,-155.084447702506
"56",2.22222222222222,2.27092005805474,-168.305115435104
"57",2.26262626262626,2.26019198131941,-182.638471647384
"58",2.3030303030303,2.24988872226376,-198.178163322831
"59",2.34343434343434,2.23999345866834,-215.025719037735
"60",2.38383838383838,2.2304900344514,-233.29121229815
"61",2.42424242424242,2.22136293329072,-253.093980705148
"62",2.46464646464646,2.21259725328994,-274.563405647047
"63",2.50505050505051,2.20417868264814,-297.83975761271
"64",2.54545454545455,2.19609347629283,-323.075112648797
"65",2.58585858585859,2.18832843343822,-350.434345948619
"66",2.62626262626263,2.18087087603226,-380.096209064224
"67",2.66666666666667,2.173708628057,-412.254497779669
"68",2.70707070707071,2.16682999564874,-447.119318275784
"69",2.74747474747475,2.16022374800534,-484.918459858916
"70",2.78787878787879,2.15387909904961,-525.898883222371
"71",2.82828282828283,2.14778568981878,-570.328333964115
"72",2.86868686868687,2.14193357155134,-618.497091902652
"73",2.90909090909091,2.13631318944359,-670.719867620235
"74",2.94949494949495,2.13091536704945,-727.337858624462
"75",2.98989898989899,2.12573129129801,-788.720978562214
"76",3.03030303030303,2.12075249810433,-855.270274050485
"77",3.07070707070707,2.11597085855003,-927.420544914466
"78",3.11111111111111,2.11137856561122,-1005.64318495223
"79",3.15151515151515,2.10696812141183,-1090.44926178614
"80",3.19191919191919,2.10273232498177,-1182.39285592315
"81",3.23232323232323,2.09866426049988,-1282.07468083988
"82",3.27272727272727,2.0947572860024,-1390.1460077441
"83",3.31313131313131,2.09100502253854,-1507.3129206552
"84",3.35353535353535,2.08740134375557,-1634.34092960418
"85",3.39393939393939,2.08394036589622,-1772.05997209347
"86",3.43434343434343,2.08061643819226,-1921.36983549362
"87",3.47474747474747,2.07742413363842,-2083.24603580417
"88",3.51515151515152,2.07435824013167,-2258.74619118743
"89",3.55555555555556,2.07141375196138,-2449.01693191684
"90",3.5959595959596,2.06858586163646,-2655.30139188587
"91",3.63636363636364,2.06586995203612,-2878.9473306234
"92",3.67676767676768,2.06326158887147,-3121.41593888066
"93",3.71717171717172,2.06075651344558,-3384.29138532107
"94",3.75757575757576,2.05835063570034,-3669.29116668628
"95",3.7979797979798,2.05604002753849,-3978.2773290612
"96",3.83838383838384,2.05382091641029,-4313.2686335522
"97",3.87878787878788,2.05168967915395,-4676.45374586288
"98",3.91919191919192,2.04964283608013,-5070.20553594156
"99",3.95959595959596,2.04767704529059,-5497.09658112717
"100",4,2.04578909722184,-5959.91597408346
